what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.jdt.ui,3.4.0.v20080603-2000,org.eclipse.jdt.ui.PackageExplorer,1224492959524
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1224492961117
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1224492961377
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1224492982237
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1224492986213
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1224492988055
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1224493011810
activated,editor,org.eclipse.jdt.ui,3.4.0.v20080603-2000,org.eclipse.jdt.ui.CompilationUnitEditor,1224493016276
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1224493016947
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1224493031408
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1224493033891
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1224493035333
started,bundle,org.eclipse.mylyn.resources.ui,3.0.0.v20080619-1900,org.eclipse.mylyn.resources.ui,1224493035724
started,bundle,org.eclipse.mylyn.java.ui,3.0.0.v20080619-1900,org.eclipse.mylyn.java.ui,1224493035944
started,bundle,org.eclipse.mylyn.pde.ui,3.0.0.v20080619-1900,org.eclipse.mylyn.pde.ui,1224493036215
started,bundle,org.eclipse.mylyn.ide.ant,3.0.0.v20080619-1900,org.eclipse.mylyn.ide.ant,1224493036285
closed,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1224493041252
stopped,bundle,org.eclipse.jst.j2ee.xdoclet.runtime,1.1.102.v200805140135,org.eclipse.jst.j2ee.xdoclet.runtime,1224493045879
stopped,bundle,org.eclipse.jst.j2ee.ejb.annotations.xdoclet,1.2.0.v200805140020,org.eclipse.jst.j2ee.ejb.annotations.xdoclet,1224493046179
stopped,bundle,org.eclipse.jst.server.generic.jboss,1.5.205.v200805140145,org.eclipse.jst.server.generic.jboss,1224493046600
